Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,BB_width,ADX20,DI_plus,DI_minus,OBV,SMA_20,SMA_50,EMA_20,Stoch_K,Stoch_D,ATR,EMA_9,EMA_21,EMA_crossover,CCI,sp500_sentiment,guardian_sentiment,VIX_close,return,next_day_return,next_5day_avg_return
2019-01-02,2510.030029296875,2519.489990234375,2467.469970703125,2476.9599609375,3733160000,,,,,,,,,,,,,,,,,,,,,0,,-0.1542759841041905,-0.4240866140885787,23.21999931335449,,-2.506833181891511,0.5883060381196135
2019-01-03,2447.889892578125,2493.139892578125,2443.9599609375,2491.919921875,3858830000,0.0,,,,,,,,,,,-3858830000.0,,,,,,,,,0,,0.0298416242003441,-0.5338725845019022,25.450000762939453,-2.506833181891511,3.375939906034647,1.1798375019871605
2019-01-04,2531.93994140625,2538.070068359375,2474.330078125,2474.330078125,4234140000,9.424005374055564,,,,,,,,,,,375310000.0,,,,,,,,,0,,-0.3402862299233675,-0.1960765264100498,21.3799991607666,3.375939906034647,0.6985975995229761,0.5017233498905814
2019-01-07,2549.68994140625,2566.159912109375,2524.56005859375,2535.610107421875,4133120000,11.324575386119394,,,,,,,,,,,4508430000.0,,,,,,,,,0,,0.0051182545721531,-0.3300939343041844,21.39999961853028,0.6985975995229761,0.9648587336497392,0.25657593824099656
2019-01-08,2574.409912109375,2579.820068359375,2547.56005859375,2568.110107421875,4120060000,14.03009982281589,,,,,,,,,,,8628490000.0,,,,,,,,,0,,0.2274693109095096,0.0799352878497706,20.46999931335449,0.9648587336497392,0.408967133282216,0.2768965691062687
2019-01-09,2584.9599609375,2595.320068359375,2568.889892578125,2580.0,4088740000,15.218979829509571,,,,,,,,,,,12717230000.0,,,,,,,,,0,,-0.2350155055522918,-0.6567210751984801,19.979999542236328,0.408967133282216,0.4508241374462229,0.23949355303159278
2019-01-10,2596.639892578125,2597.820068359375,2562.02001953125,2573.510009765625,3721300000,16.59415680722664,,,,,,,,,,,16438530000.0,,,,,,,,,0,,0.0602868106216192,-0.5082490618985432,19.5,0.4508241374462229,-0.0146308544482466,0.30058333966706313
2019-01-11,2596.260009765625,2596.27001953125,2577.39990234375,2588.110107421875,3447460000,16.58473438627946,,,,,,,,,,,12991070000.0,,,,,,,,,0,,0.4158923399324218,-0.5555513948202133,18.190000534057617,-0.0146308544482466,-0.5271394587249489,0.5654477673538281
2019-01-14,2582.610107421875,2589.320068359375,2570.409912109375,2580.31005859375,3689370000,16.228167203664583,,,,,,,,,,,9301700000.0,,,,,,,2552.714409722222,,0,,-0.1408324143849313,-0.4005702798339454,19.06999969482422,-0.5271394587249489,1.0664618879761,0.3857061225393684
2019-01-15,2610.300048828125,2613.080078125,2585.10009765625,2585.10009765625,3601180000,19.986318648851757,,,,,,,,,,,12902880000.0,,,,,,,2564.2315375434027,,0,,-0.9388886094093324,0.0541764668055943,18.600000381469727,1.0664618879761,0.2219520529088364,0.21642354333316582
2019-01-16,2616.10009765625,2625.760009765625,2612.679931640625,2614.75,3882180000,20.78792645610278,,,,,,,,,,,16785060000.0,,,,,,,2574.6052495659724,,0,,0.2710403129458427,-0.4142881333827972,19.040000915527344,0.2219520529088364,0.7562730706235749,0.19952873497094967
2019-01-17,2635.9599609375,2645.06005859375,2606.360107421875,2609.280029296875,3802410000,23.60996964950801,,,,,,,,,,,20587470000.0,,,,,,,2586.876191840278,,0,,-0.1312774512916803,-0.7230966456234456,18.059999465942383,0.7562730706235749,1.309691283985578,0.2173314748565951
2019-01-18,2670.7099609375,2675.469970703125,2647.580078125,2651.27001953125,4009010000,28.415636706522537,,,,,,,,,,,24596480000.0,,,,,,,2603.6429456597225,,0,,0.0134857645524399,-0.6789242917937892,17.799999237060547,1.309691283985578,-1.425847682797247,-0.20216229891469856
2019-01-22,2632.89990234375,2657.8798828125,2617.27001953125,2657.8798828125,3923950000,26.46479197185598,,,,,,,,,,,20672530000.0,,,,,,40.50216238839285,2609.494336996528,,0,,-0.1380009441636503,-0.3886830322444439,20.799999237060547,-1.425847682797247,0.2200489919450871,0.05386107894245411
2019-01-23,2638.699951171875,2653.18994140625,2612.860107421875,2643.47998046875,3358770000,27.28944593576572,,,,,,,,,,,24031300000.0,,,,,,40.48985321667729,2615.3354598315977,,0,,0.0681642740964889,-0.380352058662818,19.520000457763672,0.2200489919450871,0.1374780110977555,0.3184434783846376
2019-01-24,2642.330078125,2647.199951171875,2627.010009765625,2638.840087890625,3449230000,27.83492531558723,,,,,,,,,,,27480530000.0,,,,83.08442130859578,,39.03985951593248,2620.7343834902786,,0,,-0.4412014683087666,-0.1997205872427333,18.88999938964844,0.1374780110977555,0.8452867700518018,0.4621608523604416
2019-01-25,2664.760009765625,2672.3798828125,2657.330078125,2657.43994140625,3821000000,31.266098958915325,,,,,,,,,,,31301530000.0,,,,86.84811461050329,,38.39771274247303,2629.539508745348,,0,,0.0148596285531917,-0.2212743982672691,17.420000076293945,0.8452867700518018,-0.7877775848708899,0.3110676300462235
2019-01-28,2643.85009765625,2644.969970703125,2624.06005859375,2644.969970703125,3630820000,29.84164839475462,,,,,,,,,,,27670710000.0,,,,83.9022035036738,84.61157980759096,38.56215834457317,2632.4016265275286,,0,,-0.0934250308200717,-0.2386069068064291,18.8700008392334,-0.7877775848708899,-0.1457307935114838,0.6036907693699951
2019-01-29,2640.0,2650.929931640625,2631.050048828125,2644.889892578125,3518070000,29.574473939172403,,,,,,,,,,,24152640000.0,,,,78.9725967284106,83.2409716141959,37.22771009228223,2633.921301222023,,0,,0.1235352782532571,-0.5913777314126492,19.1299991607666,-0.1457307935114838,1.5429609891560043,0.7267843368192958
