Date,Close,High,Low,Open,Volume,return,RSI,ADX20,MACD,MACDsignal,MACDhist,Upper_Band,Middle_Band,Lower_Band,Band_Width_Pct,VIX_Close,VIX_High,VIX_Low,VIX_Open,VIX_ma30,guardian_sentiment,sp500_news_sentiment,next_day_return
2019-01-02,6734.2001953125,6753.2998046875,6599.5,6728.10009765625,614252000.0,,,,,,,,,,,23.21999931335449,28.530000686645508,23.049999237060547,27.540000915527344,,-0.4240866140885787,-0.1542759841041905,-0.6181639983127057
2019-01-03,6692.7001953125,6753.10009765625,6685.10009765625,6734.2001953125,674099100.0,-0.6181639983127057,,,,,,,,,,25.450000762939453,26.600000381469727,24.049999237060547,25.68000030517578,,-0.5338725845019022,0.0298416242003441,2.1390118782479974
2019-01-04,6837.39990234375,6850.39990234375,6692.5,6692.7001953125,639136700.0,2.1390118782479974,,,,,,,,,,21.3799991607666,24.479999542236328,21.190000534057617,24.36000061035156,,-0.1960765264100498,-0.3402862299233675,-0.38832724486498027
2019-01-07,6810.89990234375,6874.10009765625,6778.0,6837.39990234375,736559900.0,-0.38832724486498027,,,,,,,,,,21.399999618530277,22.709999084472656,20.90999984741211,22.059999465942383,,-0.3300939343041844,0.0051182545721531,0.7416409245037757
2019-01-08,6861.60009765625,6901.5,6804.89990234375,6810.89990234375,651977000.0,0.7416409245037757,,,,,,,,,,20.46999931335449,22.030000686645508,20.09000015258789,20.959999084472656,,0.0799352878497706,0.2274693109095096,0.6536825380129173
2019-01-09,6906.60009765625,6938.2998046875,6861.60009765625,6861.60009765625,860684900.0,0.6536825380129173,,,,,,,,,,19.979999542236328,22.799999237060547,19.479999542236328,20.440000534057617,,-0.6567210751984801,-0.2350155055522918,0.5242050299471617
2019-01-10,6942.89990234375,6948.2001953125,6860.7998046875,6906.60009765625,611434300.0,0.5242050299471617,,,,,,,,,,19.5,21.31999969482422,19.290000915527344,20.979999542236328,,-0.5082490618985432,0.0602868106216192,-0.35638921875583274
2019-01-11,6918.2001953125,7001.89990234375,6902.7001953125,6942.89990234375,680478600.0,-0.35638921875583274,,,,,,,,,,18.190000534057617,20.15999984741211,18.1200008392334,19.68000030517578,,-0.5555513948202133,0.4158923399324218,-0.917733540412482
2019-01-14,6855.0,6918.2001953125,6841.7001953125,6918.2001953125,683449700.0,-0.917733540412482,,,,,,,,,,19.06999969482422,20.270000457763672,18.700000762939453,19.84000015258789,,-0.4005702798339454,-0.1408324143849313,0.5818198230987481
2019-01-15,6895.0,6910.5,6849.60009765625,6855.0,687341200.0,0.5818198230987481,,,,,,,,,,18.600000381469727,19.200000762939453,17.979999542236328,18.530000686645508,,0.0541764668055943,-0.9388886094093324,-0.4695532476286823
2019-01-16,6862.7001953125,6912.39990234375,6848.60009765625,6895.0,787626400.0,-0.4695532476286823,,,,,,,,,,19.040000915527344,19.040000915527344,17.760000228881836,18.07999992370605,,-0.4142881333827972,0.2710403129458427,-0.4059153565884007
2019-01-17,6834.89990234375,6862.7001953125,6799.0,6862.7001953125,582654200.0,-0.4059153565884007,,,,,,,,,,18.059999465942383,19.71999931335449,17.850000381469727,19.51000022888184,,-0.7230966456234456,-0.1312774512916803,1.932943935256045
2019-01-18,6968.2998046875,6984.39990234375,6834.89990234375,6834.89990234375,795742900.0,1.932943935256045,,,,,,,,,,17.799999237060547,18.18000030517578,17.170000076293945,17.799999237060547,,-0.6789242917937892,0.0134857645524399,0.03300537353375131
2019-01-21,6970.60009765625,6987.89990234375,6954.5,6968.2998046875,474827100.0,0.03300537353375131,,,,,,,,,,,,,,,-0.3933687297006448,,-0.9977042868389784
2019-01-22,6901.39990234375,6970.60009765625,6880.7001953125,6970.60009765625,565967800.0,-0.9977042868389784,61.33403503894136,,,,,,,,,20.799999237060547,21.149999618530277,18.200000762939453,18.530000686645508,,-0.3886830322444439,-0.1380009441636503,-0.8512671303821339
2019-01-23,6842.89990234375,6901.60009765625,6834.2998046875,6901.39990234375,646039700.0,-0.8512671303821339,56.507600194922134,,,,,,,,,19.520000457763672,22.020000457763672,19.46999931335449,20.850000381469727,,-0.380352058662818,0.0681642740964889,-0.3498770580265271
2019-01-24,6819.0,6854.60009765625,6802.0,6842.89990234375,599978600.0,-0.3498770580265271,54.61667178826837,,,,,,,,,18.88999938964844,20.25,18.6299991607666,19.690000534057617,,-0.1997205872427333,-0.4412014683087666,-0.14381658966186936
2019-01-25,6809.2001953125,6858.2001953125,6806.7998046875,6819.0,727497200.0,-0.14381658966186936,53.82137543379606,,,,,,,,,17.420000076293945,18.459999084472656,17.309999465942383,18.43000030517578,,-0.2212743982672691,0.0148596285531917,-0.9161870230529288
2019-01-28,6747.10009765625,6812.5,6734.0,6809.2001953125,648213700.0,-0.9161870230529288,48.9564801979792,,,,,,,,,18.8700008392334,20.420000076293945,18.420000076293945,18.559999465942383,,-0.2386069068064291,-0.0934250308200717,1.2782709165940092
2019-01-29,6833.89990234375,6860.2998046875,6747.10009765625,6747.10009765625,697035900.0,1.2782709165940092,55.06968953588469,,,,,6996.103656790743,6852.225024414062,6708.3463920373815,4.199471904791508,19.1299991607666,19.93000030517578,18.420000076293945,19.450000762939453,,-0.5913777314126492,0.1235352782532571,1.5636802988097078
2019-01-30,6941.60009765625,6967.7001953125,6833.89990234375,6833.89990234375,748772100.0,1.5636802988097078,61.268094457017675,,,,,7000.734522737859,6862.59501953125,6724.4555163246405,4.025867847758994,17.65999984741211,19.309999465942383,17.540000915527344,19.149999618530277,,-0.1714205058912436,0.1124300765804946,0.3925069513860492
2019-01-31,6968.89990234375,6994.89990234375,6941.10009765625,6941.60009765625,866316300.0,0.3925069513860492,62.67376156516333,,,,,6998.088836706254,6876.405004882812,6754.72117305937,3.539170009242816,16.56999969482422,17.719999313354492,16.540000915527344,17.389999389648438,,-0.4271081155882432,0.2853709332644939,0.7334356402611306
2019-02-01,7020.2001953125,7024.5,6968.89990234375,6968.89990234375,630712300.0,0.7334356402611306,65.22759920824635,,,,,7020.83702672113,6885.54501953125,6750.253012341369,3.9297399641166244,16.139999389648438,16.829999923706055,16.079999923706055,16.6299991607666,,-0.2578174462541938,-0.2083912764986355,0.19780290140471976
2019-02-04,7034.10009765625,7046.60009765625,7002.39990234375,7020.2001953125,611990600.0,0.19780290140471976,65.90822016990094,,,,,7041.980930536216,6896.705029296875,6751.429128057534,4.212907486175374,15.729999542236328,16.729999542236328,15.600000381469728,16.719999313354492,,-0.5126211823274692,-0.1802574843168259,2.016742238629892
2019-02-05,7177.39990234375,7180.7001953125,7033.60009765625,7034.10009765625,662979300.0,2.016742238629892,71.99427656196691,,,,,7101.2256302449405,6912.49501953125,6723.76440881756,5.460564099661031,15.56999969482422,15.9399995803833,15.039999961853027,15.789999961853027,,-0.2999776469336616,0.1620307223250468,-0.05992550526008129
