Date,Actual,Predicted
2024-12-11,0.12279481567835179,-0.15437183
2024-12-12,-0.13845332146419784,-0.2560787
2024-12-13,-0.4612889967833327,-0.24694437
2024-12-16,-0.8130104373439235,-0.27949682
2024-12-17,0.04757036509628826,0.16388433
2024-12-18,-1.1506199912063877,-1.8823714
2024-12-19,-0.255711504523716,-0.49284175
2024-12-20,0.22363340238536378,0.4117796
2024-12-23,0.42241981413877083,0.27689388
2024-12-24,0.15718013945305287,0.17284389
2024-12-27,-0.35400638087768665,-0.090583295
2024-12-30,0.6382739233718865,0.74208885
2024-12-31,1.0600608172549941,0.37547988
2025-01-02,-0.4379937993733367,-0.5827377
2025-01-03,0.31201510113467296,-0.24042416
2025-01-06,-0.05335423739784542,0.08607623
2025-01-07,0.06910877720286883,0.24971235
2025-01-08,0.8291814844415428,-0.44443026
2025-01-10,-0.2950314402078401,0.31886283
2025-01-13,-0.27639868613602475,-0.2690602
2025-01-14,1.2070924714272633,0.009212849
2025-01-15,1.0879012375601733,0.08682694
2025-01-16,1.3410762654024149,-0.7684038
2025-01-17,0.17972604510086562,-0.34150237
2025-01-21,-0.03744363859252768,0.041408755
2025-01-22,0.23495316170629243,0.31830826
2025-01-23,-0.7358982626686419,-0.3014768
2025-01-24,0.015286334259440227,-0.1500109
2025-01-27,0.35451267670753084,-0.2041375
2025-01-28,0.27966123166116147,-0.14754617
2025-01-29,1.0357795429500332,-0.04054441
2025-01-30,0.31291250311262875,-0.38933814
2025-01-31,-1.0476685001269055,-0.36287144
2025-02-03,-0.1492306055601492,-0.5456141
2025-02-04,0.6106765035408734,-0.092433624
2025-02-05,1.1988201893382608,-0.53643155
2025-02-06,-0.3075526011599234,-0.4538427
2025-02-07,0.7705402176915758,-0.1810255
2025-02-10,0.10943832830431403,0.12313744
2025-02-11,0.3412040827558143,0.13487744
2025-02-12,-0.4860008528943683,-0.15245782
2025-02-13,-0.3680615333219531,-0.12414192
2025-02-14,0.4057032506809775,0.05854413
2025-02-18,-0.6201698982014562,-0.10491734
2025-02-19,-0.5697693178639079,0.04963933
2025-02-20,-0.0415601688638966,0.37537432
2025-02-21,-0.0046238753700159,-0.27128235
2025-02-24,0.11196172852095392,-0.44616145
2025-02-25,0.7218316646889189,-0.06385933
2025-02-26,0.282486678774224,-0.05552656
2025-02-27,0.6091366139564025,0.18709345
2025-02-28,0.6967915684185473,0.51871014
2025-03-03,-1.2739581828302555,-0.013344874
2025-03-04,-0.036542756797662106,-0.96232957
2025-03-05,-0.8372280807689311,0.22161052
2025-03-06,-0.03339819333209153,-0.56209564
2025-03-07,-0.9224571358734369,-0.39133632
2025-03-10,-1.2190017013647723,-0.4352822
2025-03-11,0.5282632464427218,0.016105821
2025-03-12,0.018726842307828923,0.32548633
2025-03-13,1.0445593741271073,0.2928938
2025-03-14,0.5545108657958548,0.33052686
2025-03-17,0.2864502907758984,0.1976643
2025-03-18,0.017229595507191324,-0.17345347
2025-03-19,-0.05399823506608266,-0.4880367
2025-03-20,-0.6363596584563899,-0.11506336
2025-03-21,-0.10182131754150575,0.14168043
2025-03-24,0.2982328324371105,-0.20517805
2025-03-25,0.2973460482399761,0.57750964
2025-03-26,-0.2708045820023337,-0.02688503
2025-03-27,-0.08310786914135711,-0.20158239
2025-03-28,-0.8827561001323031,-0.53395605
2025-03-31,0.6040349326837513,0.04275371
2025-04-01,-0.3050439924968017,-0.10302141
2025-04-02,-1.5664809777958362,0.23171118
2025-04-03,-5.079226082749389,-0.75787216
2025-04-04,-4.479998500072265,1.4057635
2025-04-07,2.6697959278766374,3.107049
2025-04-08,-2.963655003343561,-1.5430266
2025-04-09,2.999042264952988,-1.0551791
2025-04-10,0.6411659895892536,-1.1318648
2025-04-11,2.1133141597722265,1.6530236
2025-04-14,1.4014391116310376,0.20437056
2025-04-15,0.32073228524335157,0.1698699
2025-04-16,0.0012154445715900804,0.7588441
2025-04-17,0.6371794494189986,0.9764765
2025-04-22,0.891728100357842,-0.33602196
2025-04-23,0.04997079525422937,-0.4537384
2025-04-24,0.09391375405113836,-0.4045775
2025-04-25,0.023763412138640198,0.14114177
2025-04-28,0.5473711103655963,0.824376
2025-04-29,0.37032297606949666,-0.0009125182
2025-04-30,0.02235696308879447,-1.1164299
2025-05-01,1.165395737084858,0.4057657
2025-05-02,0.011632099427588612,-1.3260889
2025-05-06,-0.4441489113567799,-0.28915793
2025-05-07,-0.3241516891092312,-0.34663215
2025-05-08,0.27156346996341146,0.14370593
2025-05-09,0.585092356480697,-0.2726821
2025-05-12,-0.024402853779451412,-0.9725926
2025-05-13,-0.20829067762693412,0.022801425
2025-05-14,0.5668215659282807,0.10144219
2025-05-15,0.5866587225559351,-0.11933165
2025-05-16,0.16912429675617996,-0.48832458
2025-05-19,0.9359099850999567,-0.3421582
2025-05-20,0.061481259992143884,-0.09584722
2025-05-21,-0.5386380074756725,-0.15735723
2025-05-22,-0.24402187618061777,-0.42502028
