Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,BB_width,ADX20,DI_plus,DI_minus,OBV,SMA_20,SMA_50,EMA_20,Stoch_K,Stoch_D,ATR,EMA_9,EMA_21,EMA_crossover,CCI,guardian_sentiment,sp500_sentiment,VIX_close,return,next_day_return,next_5day_avg_return
2019-01-02,6734.2001953125,6753.2998046875,6599.5,6728.10009765625,614252000,,,,,,,,,,,,,,,,,,,,,0,,-0.4240866140885787,-0.1542759841041905,23.21999931335449,,-0.6181639983127057,0.5055688195174007
2019-01-03,6692.7001953125,6753.10009765625,6685.10009765625,6734.2001953125,674099100,0.0,,,,,,,,,,,-674099100.0,,,,,,,,,0,,-0.5338725845019022,0.0298416242003441,25.450000762939453,-0.6181639983127057,2.139011878247997,0.7340426251693742
2019-01-04,6837.39990234375,6850.39990234375,6692.5,6692.7001953125,639136700,21.14875314096576,,,,,,,,,,,-34962400.0,,,,,,,,,0,,-0.1960765264100498,-0.3402862299233675,21.3799991607666,2.139011878247997,-0.3883272448649802,0.23496240576860838
2019-01-07,6810.89990234375,6874.10009765625,6778.0,6837.39990234375,736559900,20.301944446391357,,,,,,,,,,,-771522300.0,,,,,,,,,0,,-0.3300939343041844,0.0051182545721531,21.39999961853028,-0.3883272448649802,0.7416409245037757,0.12908114665910803
2019-01-08,6861.60009765625,6901.5,6804.89990234375,6810.89990234375,651977000,26.375866041617176,,,,,,,,,,,-119545300.0,,,,,,,,,0,,0.0799352878497706,0.2274693109095096,20.46999931335449,0.7416409245037757,0.6536825380129173,0.09711692637810251
2019-01-09,6906.60009765625,6938.2998046875,6861.60009765625,6861.60009765625,860684900,31.374963559436218,,,,,,,,,,,741139600.0,,,,,,,,,0,,-0.6567210751984801,-0.2350155055522918,19.979999542236328,0.6536825380129173,0.5242050299471617,-0.12753023075021744
2019-01-10,6942.89990234375,6948.2001953125,6860.7998046875,6906.60009765625,611434300,35.197400212418266,,,,,,,,,,,1352573900.0,,,,,,,,,0,,-0.5082490618985432,0.0602868106216192,19.5,0.5242050299471617,-0.3563892187558327,-0.3135543080573299
2019-01-11,6918.2001953125,7001.89990234375,6902.7001953125,6942.89990234375,680478600,33.81712225221926,,,,,,,,,,,672095300.0,,,,,,,,,0,,-0.5555513948202133,0.4158923399324218,18.190000534057617,-0.3563892187558327,-0.917733540412482,0.14431232274504557
2019-01-14,6855.0,6918.2001953125,6841.7001953125,6918.2001953125,683449700,30.519199992948263,,,,,,,,,,,-11354400.0,,,,,,,6839.944498697917,,0,,-0.4005702798339454,-0.1408324143849313,19.06999969482422,-0.917733540412482,0.5818198230987481,0.3344601055342923
2019-01-15,6895.0,6910.5,6849.60009765625,6855.0,687341200,34.84977851095536,,,,,,,,,,,675986800.0,,,,,,,6850.955598958334,,0,,0.0541764668055943,-0.9388886094093324,18.600000381469727,0.5818198230987481,-0.4695532476286823,0.01855528354674696
2019-01-16,6862.7001953125,6912.39990234375,6848.60009765625,6895.0,787626400,33.05800803542838,,,,,,,,,,,-111639600.0,,,,,,,6853.304518229168,,0,,-0.4142881333827972,0.2710403129458427,19.040000915527344,-0.4695532476286823,-0.4059153565884007,-0.05778749300394339
2019-01-17,6834.89990234375,6862.7001953125,6799.0,6862.7001953125,582654200,31.55426184951605,,,,,,,,,,,-694293800.0,,,,,,,6849.623595052085,,0,,-0.7230966456234456,-0.1312774512916803,18.059999465942383,-0.4059153565884007,1.932943935256045,-0.04657983329156864
2019-01-18,6968.2998046875,6984.39990234375,6834.89990234375,6834.89990234375,795742900,44.581283709062575,,,,,,,,,,,101449100.0,,,,,,,6873.358836979168,,0,,-0.6789242917937892,0.0134857645524399,17.799999237060547,1.932943935256045,0.0330053735337513,-0.4619319382751514
2019-01-21,6970.60009765625,6987.89990234375,6954.5,6968.2998046875,474827100,44.77646368848381,,,,,,,,,,,576276200.0,,,,,,91.67853655133928,6892.807089114585,,0,,-0.3933687297006448,,,0.0330053735337513,-0.9977042868389784,-0.6517704175924874
2019-01-22,6901.39990234375,6970.60009765625,6880.7001953125,6970.60009765625,565967800,40.19068524187997,,,,,,,,,,,10308400.0,,,,,,91.5514912507972,6894.525651760418,,0,,-0.3886830322444439,-0.1380009441636503,20.799999237060547,-0.9977042868389784,-0.8512671303821339,-0.19657537690588994
2019-01-23,6842.89990234375,6901.60009765625,6834.2998046875,6901.39990234375,646039700,36.762952955748254,,,,,,,,,,,-635731300.0,,,,69.70280310622519,,89.81926280207954,6884.200501877085,,0,,-0.380352058662818,0.0681642740964889,19.520000457763672,-0.8512671303821339,-0.3498770580265271,0.2864141089324784
2019-01-24,6819.0,6854.60009765625,6802.0,6842.89990234375,599978600,35.433359825615824,,,,,,,,,,,-1235709900.0,,,,45.06614899716595,,87.16075100594887,6871.160401501668,,0,,-0.1997205872427333,-0.4412014683087666,18.88999938964844,-0.3498770580265271,-0.1438165896618693,0.4348909108149936
2019-01-25,6809.2001953125,6858.2001953125,6806.7998046875,6819.0,727497200,34.87637206336717,,,,,,,,,,,-1963207100.0,,,,23.983052342456364,46.25066814861583,84.60643955016681,6858.768360263835,,0,,-0.2212743982672691,0.0148596285531917,17.420000076293945,-0.1438165896618693,-0.9161870230529288,0.6103413567995937
2019-01-28,6747.10009765625,6812.5,6734.0,6809.2001953125,648213700,31.49751966267692,,,,,,,,,,,-2611420800.0,,,,9.409627483890809,26.15294294117104,84.17026529658348,6836.434707742319,,0,,-0.2386069068064291,-0.0934250308200717,18.8700008392334,-0.9161870230529288,1.2782709165940092,0.8331393416911232
2019-01-29,6833.89990234375,6860.2998046875,6747.10009765625,6747.10009765625,697035900,40.21588163000175,,,,6999.841386560057,6852.225024414062,6704.608662268068,0.0430856726450303,0.7170759016397935,,15.346744823602675,-1914384900.0,6852.225024414062,,6852.225024414062,15.735712961587213,16.37613092931146,86.24379684905966,6835.927746662605,,0,-1173.1655595523362,-0.5913777314126492,0.1235352782532571,19.1299991607666,1.2782709165940092,1.5636802988097078,0.9808336060982998
2019-01-30,6941.60009765625,6967.7001953125,6833.89990234375,6833.89990234375,748772100,48.90523453170859,,,,7004.32315938897,6862.59501953125,6720.866879673529,0.0413045326015468,1.5518293745165612,,20.40770854537287,-1165612800.0,6862.59501953125,,6860.736936151413,39.89053309979423,21.678624515090743,89.64068942903754,6857.062216861335,6856.4809802827385,1,-2027.9309673845771,-0.1714205058912436,0.1124300765804946,17.65999984741211,1.5636802988097078,0.3925069513860492,0.6561124452843422
2019-01-31,6968.89990234375,6994.89990234375,6941.10009765625,6941.60009765625,866316300,50.85511358814054,,,,7001.2499821323,6876.405004882813,6751.560027633326,0.036311118138282,2.5339234701724465,1.62549968590612,21.370697775825068,-299296500.0,6876.405004882813,,6871.038171026874,68.27205634150964,41.29943413429702,87.08062623321344,6879.429753957818,6866.700882288285,1,-2595.3717117819915,-0.4271081155882432,0.2853709332644939,16.56999969482422,0.3925069513860492,0.7334356402611306,0.35471207542410643
2019-02-01,7020.2001953125,7024.5,6968.89990234375,6968.89990234375,630712300,54.37839108905576,,,,7024.351690118095,6885.545019531251,6746.738348944406,0.0403182813250398,3.663289330665607,2.607559352591084,22.4407776962435,331415800.0,6885.545019531251,,6885.244078101696,88.68200632734485,65.61486525621623,84.83201704914462,6907.583842228755,6880.655365290487,1,-2109.425119214357,-0.2578174462541938,-0.2083912764986355,16.139999389648438,0.7334356402611306,0.1978029014047197,0.1447697780713202
2019-02-04,7034.10009765625,7046.60009765625,7002.39990234375,7020.2001953125,611990600,55.31320319322499,,,,7045.75495904815,6896.705029296875,6747.6550995456,0.0432235188015489,4.877303697442285,3.7056135838073656,23.19401974867329,943406400.0,6896.705029296875,,6899.420841868796,94.85187792594311,83.9353135315992,81.92974406795572,6932.887093314254,6894.604886414647,1,-1438.9392733724335,-0.5126211823274692,-0.1802574843168259,15.729999542236328,0.1978029014047197,2.016742238629892,0.26830496904474466
